# theta_idx, align_idx, realization, theta_value, align_value, seedpoints, density
1, 0, 8, 0.15707963267948966, 1.0, [2516.17545407], 452.9950222140623
1, 0, 9, 0.15707963267948966, 1.0, [2516.17545407], 460.1009795581849
1, 1, 0, 0.15707963267948966, 1.1111111111111112, [2434.3977587], 444.7584965940046
1, 1, 1, 0.15707963267948966, 1.1111111111111112, [2434.3977587], 433.08847866507966
1, 1, 2, 0.15707963267948966, 1.1111111111111112, [2434.3977587], 444.58370403410674
1, 1, 3, 0.15707963267948966, 1.1111111111111112, [2434.3977587], 443.9567261488527
1, 1, 4, 0.15707963267948966, 1.1111111111111112, [2434.3977587], 431.4067109443244
1, 1, 5, 0.15707963267948966, 1.1111111111111112, [2434.3977587], 452.06520206764924
1, 1, 6, 0.15707963267948966, 1.1111111111111112, [2434.3977587], 452.89032574979444
1, 1, 7, 0.15707963267948966, 1.1111111111111112, [2434.3977587], 463.156647709255
1, 1, 8, 0.15707963267948966, 1.1111111111111112, [2434.3977587], 450.1103991348194
1, 1, 9, 0.15707963267948966, 1.1111111111111112, [2434.3977587], 454.9121905753615
1, 2, 0, 0.15707963267948966, 1.2222222222222223, [2352.78256872], 409.6498162435398
1, 2, 1, 0.15707963267948966, 1.2222222222222223, [2352.78256872], 432.5001381473602
1, 2, 2, 0.15707963267948966, 1.2222222222222223, [2352.78256872], 445.59808252607525
1, 2, 3, 0.15707963267948966, 1.2222222222222223, [2352.78256872], 448.36187551047044
1, 2, 4, 0.15707963267948966, 1.2222222222222223, [2352.78256872], 425.4240866320092
1, 2, 5, 0.15707963267948966, 1.2222222222222223, [2352.78256872], 429.0105592195001
1, 2, 6, 0.15707963267948966, 1.2222222222222223, [2352.78256872], 436.8630933247692
1, 2, 7, 0.15707963267948966, 1.2222222222222223, [2352.78256872], 426.9734971532561
1, 2, 8, 0.15707963267948966, 1.2222222222222223, [2352.78256872], 456.1241804132462
1, 2, 9, 0.15707963267948966, 1.2222222222222223, [2352.78256872], 459.775398633383
1, 3, 0, 0.15707963267948966, 1.3333333333333333, [2271.29203232], 440.06126741928193
1, 3, 1, 0.15707963267948966, 1.3333333333333333, [2271.29203232], 435.9002763916921
1, 3, 2, 0.15707963267948966, 1.3333333333333333, [2271.29203232], 451.88320079444554
1, 3, 3, 0.15707963267948966, 1.3333333333333333, [2271.29203232], 468.11817693654655
1, 3, 4, 0.15707963267948966, 1.3333333333333333, [2271.29203232], 448.2711469380976
1, 3, 5, 0.15707963267948966, 1.3333333333333333, [2271.29203232], 443.14478816734527
1, 3, 6, 0.15707963267948966, 1.3333333333333333, [2271.29203232], 436.2988551466655
1, 3, 7, 0.15707963267948966, 1.3333333333333333, [2271.29203232], 427.9403657455216
1, 3, 8, 0.15707963267948966, 1.3333333333333333, [2271.29203232], 424.2369351861778
1, 3, 9, 0.15707963267948966, 1.3333333333333333, [2271.29203232], 419.9718019227819
1, 4, 0, 0.15707963267948966, 1.4444444444444444, [2189.89922569], 434.39115573805293
1, 4, 1, 0.15707963267948966, 1.4444444444444444, [2189.89922569], 411.35848629336704
